# Wavelength (µm)	QE
1.834	0.517379444
1.835	0.517573038
1.836	0.512363604
1.837	0.513481169
1.838	0.514334741
1.839	0.518980993
1.84	0.521110524
1.841	0.516473073
1.842	0.510207673
1.843	0.506696586
1.844	0.506291799
1.845	0.509750088
1.846	0.511430834
1.847	0.508993312
1.848	0.506441394
1.849	0.507840549
1.85	0.509424498
1.851	0.505385428
1.852	0.506617388
1.853	0.505411827
1.854	0.5031327
1.855	0.504153467
1.856	0.506230201
1.857	0.509741288
1.858	0.508658923
1.859	0.512530799
1.86	0.51438754
1.861	0.520160155
1.862	0.512601197
1.863	0.511439634
1.864	0.509125308
1.865	0.500915171
1.866	0.506414995
1.867	0.507796551
1.868	0.506379796
1.869	0.506406195
1.87	0.506203801
1.871	0.501020767
1.872	0.504206265
1.873	0.510550862
1.874	0.51092925
1.875	0.510462865
1.876	0.51405315
1.877	0.513657163
1.878	0.509626892
1.879	0.514739528
1.88	0.517476241
1.881	0.515029919
1.882	0.515399507
1.883	0.517291447
1.884	0.51532031
1.885	0.513921155
1.886	0.512073214
1.887	0.519024991
1.888	0.51810982
1.889	0.520784935
1.89	0.529857445
1.891	0.532303766
1.892	0.53532207
1.893	0.538199578
1.894	0.533914115
1.895	0.534098909
1.896	0.540452306
1.897	0.536360436
1.898	0.537653995
1.899	0.535207673
1.9	0.534908483
1.901	0.530878212
1.902	0.533359732
1.903	0.538903555
1.904	0.541649067
1.905	0.542423442
1.906	0.542168251
1.907	0.542027455
1.908	0.536782823
1.909	0.540197114
1.91	0.540874692
1.911	0.543787399
1.912	0.546128124
1.913	0.549216825
1.914	0.544623372
1.915	0.53811158
1.916	0.538877156
1.917	0.542265048
1.918	0.542221049
1.919	0.547914467
1.92	0.549709609
1.921	0.547060894
1.922	0.551504752
1.923	0.549419219
1.924	0.55186554
1.925	0.554232665
1.926	0.559160507
1.927	0.558271735
1.928	0.556291799
1.929	0.555755016
1.93	0.556370996
1.931	0.559160507
1.932	0.559635692
1.933	0.564026751
1.934	0.563841957
1.935	0.563903555
1.936	0.564220345
1.937	0.563093981
1.938	0.562020415
1.939	0.566156283
1.94	0.572351285
1.941	0.571488912
1.942	0.570221753
1.943	0.572624076
1.944	0.571937698
1.945	0.57157691
1.946	0.57345125
1.947	0.573662443
1.948	0.574947202
1.949	0.575915171
1.95	0.57592397
1.951	0.576064766
1.952	0.575897571
1.953	0.577604717
1.954	0.577331925
1.955	0.576900739
1.956	0.576777543
1.957	0.576601549
1.958	0.577710313
1.959	0.577622316
1.96	0.57844069
1.961	0.577859908
1.962	0.57718233
1.963	0.577059134
1.964	0.576927138
1.965	0.576803942
1.966	0.576469553
1.967	0.576751144
1.968	0.576020767
1.969	0.57561598
1.97	0.575131996
1.971	0.574885604
1.972	0.574956001
1.973	0.574137628
1.974	0.573512848
1.975	0.573345653
1.976	0.573231257
1.977	0.572263288
1.978	0.571823302
1.979	0.571444914
1.98	0.571409715
1.981	0.571471313
1.982	0.571374516
1.983	0.570661739
1.984	0.570239352
1.985	0.569508976
1.986	0.568989792
1.987	0.568945794
1.988	0.57437522
1.989	0.559494896
1.99	0.569913763
1.991	0.578255896
1.992	0.564405139
1.993	0.571427314
1.994	0.567898627
1.995	0.55718937
1.996	0.567705033
1.997	0.565364308
1.998	0.564308342
1.999	0.566596269
2	0.57437522
2.001	0.573477649
2.002	0.574040831
2.003	0.572676874
2.0041	0.57030095
2.0051	0.570212953
2.0059	0.571128124
2.0069	0.571726505
2.008	0.568822598
2.009	0.569764168
2.01	0.56938578
